,latitude,longitude,speeds
199,52.5404,13.40355,3.0
200,52.54037,13.40345,3.0
201,52.54037,13.40345,3.0
202,52.54015,13.40275,3.0
203,52.54015,13.40275,3.0
204,52.5401,13.40257,3.0
205,52.5401,13.40257,3.0
206,52.54004,13.40238,3.0
207,52.54004,13.40238,3.0
208,52.53996,13.40209,3.0
209,52.53996,13.40209,3.0
210,52.53982,13.40159,3.0
211,52.53982,13.40159,3.0
212,52.53968,13.40105,3.0
213,52.53968,13.40105,3.0
214,52.53954,13.40053,3.0
215,52.53954,13.40053,3.0
216,52.53946,13.40028,3.0
217,52.53946,13.40028,3.0
218,52.5394,13.40006,3.0
219,52.5394,13.40006,3.0
220,52.53911,13.39902,3.0
221,52.53911,13.39902,3.0
222,52.53882,13.39799,3.0
223,52.53882,13.39799,3.0
224,52.53867,13.39751,3.0
225,52.53867,13.39751,3.0
226,52.53861,13.39729,3.0
227,52.53861,13.39729,3.0
228,52.53853,13.397,3.0
229,52.53853,13.397,3.0
230,52.53844,13.39663,3.0
231,52.53844,13.39663,3.0
232,52.53837,13.39638,3.0
233,52.53837,13.39638,3.0
234,52.5383,13.39608,3.0
235,52.5383,13.39608,3.0
236,52.53826,13.39593,3.0
237,52.53826,13.39593,2.0
238,52.53798,13.39499,2.0
239,52.53798,13.39499,2.0
240,52.53786,13.3946,2.0
241,52.53786,13.3946,2.0
242,52.53767,13.39394,2.0
243,52.53767,13.39394,2.0
244,52.53761,13.39374,2.0
245,52.53751,13.39345,2.0
246,52.53744,13.39327,2.0
247,52.53744,13.39327,2.0
248,52.53726,13.39298,2.0
249,52.53709,13.39271,2.0
250,52.53709,13.39271,2.0
251,52.53704,13.39264,2.0
252,52.53686,13.39235,2.0
253,52.53672,13.39212,2.0
254,52.53672,13.39212,2.0
255,52.53645,13.39169,2.0
256,52.53645,13.39169,2.0
257,52.5362,13.39129,2.0
258,52.5362,13.39129,2.0
259,52.53605,13.39105,2.0
260,52.53605,13.39105,2.0
261,52.53598,13.39095,2.0
262,52.53565,13.39044,2.0
263,52.53565,13.39044,2.0
264,52.53555,13.39029,2.0
265,52.53555,13.39029,2.0
266,52.53549,13.3902,2.0
267,52.53549,13.3902,2.0
268,52.53544,13.39012,2.0
269,52.53544,13.39012,2.0
270,52.53534,13.38998,2.0
271,52.53529,13.38992,2.0
272,52.53529,13.38992,2.0
273,52.53509,13.38968,2.0
274,52.53509,13.38968,2.0
275,52.53499,13.38957,2.0
276,52.53499,13.38957,2.0
277,52.53488,13.38944,2.0
278,52.53488,13.38944,2.0
279,52.5348,13.38935,2.0
280,52.5348,13.38935,2.0
281,52.53474,13.38929,2.0
282,52.53474,13.38929,2.0
283,52.53443,13.38893,2.0
284,52.53443,13.38893,2.0
285,52.53425,13.38873,2.0
286,52.53425,13.38873,2.0
287,52.53378,13.3882,2.0
288,52.53378,13.3882,2.0
289,52.53364,13.38802,2.0
290,52.53364,13.38802,2.0
291,52.53361,13.38785,2.0
292,52.53354,13.38766,2.0
293,52.53348,13.38748,2.0
294,52.53348,13.38748,2.0
295,52.53328,13.38703,2.0
296,52.53328,13.38703,2.0
