geometry,nodes,building:levels,available_beds
"POLYGON ((13.3979771 52.5267192, 13.3980148 52.5266408, 13.398025 52.5266197, 13.3980547 52.5266243, 13.3982195 52.5266511, 13.3982084 52.526673, 13.3981689 52.5267512, 13.3979771 52.5267192))","[3903345987, 1503718275, 3903345732, 3903345734, 3903345747, 3790637390, 3903345997, 3903345987]",5,46
"POLYGON ((13.3972974 52.5263763, 13.3973281 52.5263071, 13.3975921 52.5263476, 13.3975952 52.52634, 13.3978321 52.5263764, 13.397829 52.526384, 13.3980279 52.5264145, 13.3980464 52.5264279, 13.3980322 52.5264615, 13.3980734 52.5264687, 13.3980825 52.5264458, 13.3980765 52.5264451, 13.3980931 52.5264063, 13.3980999 52.5264075, 13.3981125 52.5263786, 13.3981231 52.5263552, 13.3982512 52.5263769, 13.3983458 52.5263932, 13.3982778 52.5265356, 13.3980797 52.5265036, 13.3977907 52.5264567, 13.3975606 52.5264193, 13.3973796 52.5263899, 13.3972974 52.5263763))","[3903345383, 3903345244, 3903345368, 3903345363, 3903345384, 3903345387, 3903345406, 3903345412, 3903345431, 3903345439, 3903345421, 3903345420, 3903345402, 3903345404, 3903345386, 3903345373, 3903345385, 3903345397, 3903345678, 3903345452, 3903345427, 3903345409, 3903345392, 3903345383]",3,54
"POLYGON ((13.3967751 52.5253663, 13.3968392 52.5252225, 13.3973275 52.525308, 13.397385 52.5253178, 13.3972933 52.5255284, 13.3972652 52.525524, 13.3972904 52.5254669, 13.397259 52.5254614, 13.3972644 52.52545, 13.397233 52.5254447, 13.3968329 52.5253767, 13.3967751 52.5253663))","[3903344489, 3903344423, 3903343968, 3903344459, 3903344565, 3903344562, 3903344524, 3903344521, 3903344516, 3903344511, 3790637384, 3903344489]",4,95
"POLYGON ((13.3963191 52.5252891, 13.3963142 52.5253001, 13.396257 52.5252906, 13.3963251 52.5251377, 13.3964499 52.5251583, 13.3965798 52.5251797, 13.3965166 52.5253216, 13.3963857 52.5253, 13.3963191 52.5252891))","[3903344447, 3903344454, 3903344449, 3903344384, 1503717545, 3903344397, 3903344461, 1503717550, 3903344447]",4,214
"POLYGON ((13.3973592 52.5267525, 13.3973895 52.5266872, 13.3974214 52.5266273, 13.3974908 52.5266382, 13.3976049 52.5266559, 13.3975853 52.5266984, 13.3975644 52.5267049, 13.3975511 52.5267264, 13.3975583 52.5267369, 13.3976086 52.5267455, 13.3975923 52.5267915, 13.3973592 52.5267525))","[3903346002, 3903345969, 3903345735, 3903345741, 3903345752, 3903345973, 3903345975, 3903345991, 3903345994, 4565961155, 3903346014, 3903346002]",3,453
"POLYGON ((13.3970491 52.5263369, 13.3971049 52.5262105, 13.3971631 52.5262194, 13.3971479 52.5262571, 13.3971732 52.5262616, 13.397192 52.5262528, 13.3971872 52.5262487, 13.397198 52.5262448, 13.3972052 52.5262507, 13.3972112 52.5262484, 13.3972173 52.5262544, 13.3972084 52.5262578, 13.3972336 52.5262807, 13.3972423 52.526278, 13.3972501 52.5262857, 13.3972403 52.526289, 13.3972456 52.5262944, 13.3972374 52.5262977, 13.3972328 52.5262917, 13.397211 52.5262987, 13.3972042 52.5263139, 13.397263 52.5263241, 13.3972447 52.5263678, 13.3971539 52.5263533, 13.3970491 52.5263369))","[1503047486, 3903345184, 3903345188, 3903345209, 3903345212, 3903345207, 3903345203, 3903345200, 3903345204, 3903345202, 3903345208, 3903345210, 3903345223, 3903345221, 3903345226, 3903345230, 3903345236, 3903345238, 3903345233, 3903345239, 3903345245, 3903345251, 3903345379, 3903345372, 1503047486]",,231
"POLYGON ((13.3964556 52.5265532, 13.3964369 52.5265573, 13.3964207 52.5265957, 13.3963893 52.5265908, 13.3963156 52.526578, 13.3963801 52.526433, 13.3964585 52.5264461, 13.396462 52.5264384, 13.3965963 52.5264608, 13.3965928 52.5264685, 13.3966829 52.5264834, 13.3966405 52.5266353, 13.3965749 52.5266246, 13.3965007 52.5266092, 13.3965181 52.5265706, 13.3965064 52.5265608, 13.3964556 52.5265532))","[3903345684, 3903345686, 3903345717, 3903345713, 3903345699, 3903345417, 3903345422, 3903345418, 3903345430, 3903345438, 3903345444, 3903345738, 3903345733, 3903345725, 3903345695, 3903345689, 3903345684]",3,456
"POLYGON ((13.3970094 52.526455, 13.3970222 52.5264161, 13.3970491 52.5263369, 13.3971539 52.5263533, 13.3971074 52.526471, 13.3970094 52.526455))","[3903345424, 3903345407, 1503047486, 3903345372, 3903345440, 3903345424]",,43
"POLYGON ((13.3973308 52.5265072, 13.3973587 52.5264402, 13.3973796 52.5263899, 13.3975606 52.5264193, 13.3975486 52.5264464, 13.3975385 52.5264686, 13.397508 52.5265358, 13.3974991 52.5265346, 13.3973308 52.5265072))","[3903345454, 1503718221, 3903345392, 3903345409, 3903345423, 1503718246, 3903345679, 3903345675, 3903345454]",4,23
"POLYGON ((13.396961 52.5265962, 13.3969753 52.5265541, 13.3970094 52.526455, 13.3971074 52.526471, 13.3973308 52.5265072, 13.3974991 52.5265346, 13.3974767 52.5265817, 13.397092 52.5265176, 13.3970743 52.5265234, 13.3970559 52.5265661, 13.3970635 52.5265673, 13.3970458 52.5266103, 13.396961 52.5265962))","[3903345716, 3903345682, 3903345424, 3903345440, 3903345454, 3903345675, 3903345702, 3903345660, 3903345666, 3903345692, 3903345694, 3903345726, 3903345716]",5,67
"POLYGON ((13.3967653 52.52629, 13.3968193 52.5261658, 13.3968842 52.5261762, 13.3968673 52.5262151, 13.3970055 52.5262373, 13.3970229 52.5261973, 13.3971049 52.5262105, 13.3970491 52.5263369, 13.3967653 52.52629))","[1503047438, 3903345056, 3903345167, 3903345186, 3903345194, 3903345177, 3903345184, 1503047486, 1503047438]",,100
"POLYGON ((13.3964994 52.5258366, 13.3965563 52.5257113, 13.3968336 52.5257542, 13.3968153 52.525795, 13.3969227 52.5258117, 13.3969221 52.5258138, 13.39692 52.5258186, 13.3969115 52.5258174, 13.3969084 52.5258241, 13.39692 52.5258261, 13.3969061 52.5258566, 13.3967957 52.5258391, 13.3967775 52.52588, 13.3964994 52.5258366))","[3903344720, 3903344666, 3903344682, 3903344699, 3903344706, 3903344708, 3903344714, 3903344712, 3903344717, 3903344718, 3903344733, 3903344724, 3903344752, 3903344720]",1,125
"POLYGON ((13.3972505 52.5255573, 13.3972652 52.525524, 13.3972933 52.5255284, 13.3975401 52.5255704, 13.3981581 52.5256656, 13.3982365 52.525678, 13.3983058 52.5256885, 13.3982925 52.5257175, 13.3972505 52.5255573))","[3903344590, 3903344562, 3903344565, 3903344596, 3903344653, 3903344657, 3903344660, 3903344668, 3903344590]",,120
"POLYGON ((13.3964536 52.5262678, 13.3964947 52.5261748, 13.3965191 52.5261203, 13.396731 52.5261575, 13.3966633 52.5263041, 13.3964536 52.5262678))","[3903345216, 3903345166, 3903345028, 3903345052, 3903345242, 3903345216]",1,210
"POLYGON ((13.3783672 52.5267353, 13.37807 52.5267161, 13.3780456 52.5267145, 13.3780449 52.5267231, 13.3779529 52.5267186, 13.3779389 52.5268168, 13.3779257 52.5269077, 13.3779734 52.5269104, 13.3779724 52.526919, 13.3780351 52.5269226, 13.3783303 52.5269391, 13.3783342 52.526922, 13.3783446 52.5268659, 13.3783542 52.5268148, 13.378365 52.5267552, 13.3783672 52.5267353))","[3342715643, 8792829492, 3342715641, 1648219936, 287022697, 539068853, 287022698, 3342715661, 3342715662, 8792829493, 3342715665, 8792829514, 8792829495, 8792829494, 8792829513, 3342715643]",,220
"POLYGON ((13.3744406 52.5260527, 13.374239 52.5259701, 13.374207 52.5259979, 13.3741885 52.5259908, 13.3741681 52.5259943, 13.374157 52.5260039, 13.3741446 52.5260142, 13.3741472 52.5260284, 13.3741686 52.5260353, 13.3741335 52.5260673, 13.374346 52.526154, 13.3743052 52.5261872, 13.374399 52.5262266, 13.3744738 52.526258, 13.374655 52.5261057, 13.3746685 52.5261114, 13.3747529 52.5260354, 13.3747833 52.52601, 13.3747332 52.5259879, 13.3747775 52.5259466, 13.3747469 52.5259349, 13.3748641 52.5258314, 13.3748816 52.5258162, 13.3748429 52.5258003, 13.3747051 52.5259175, 13.3746772 52.5259065, 13.3746327 52.5259463, 13.3745788 52.5259237, 13.3744609 52.5260268, 13.3744685 52.5260294, 13.3744406 52.5260527))","[538987616, 538987594, 3342715570, 3342715569, 1211891545, 538987653, 1211891553, 1211891543, 1211891548, 538987596, 538987599, 538987601, 365802657, 365802473, 1211891549, 1211891544, 538987909, 1211891551, 1211891552, 1211891555, 667128894, 3342715560, 667128891, 667128888, 667128885, 1211891542, 1211891547, 538987610, 1211891554, 1211891541, 538987616]",,132
"POLYGON ((13.3748796 52.5257305, 13.3749294 52.5257138, 13.3748274 52.5256705, 13.3747263 52.5256273, 13.3746972 52.5256525, 13.3747983 52.5256957, 13.3748796 52.5257305))","[2033413500, 2033413480, 2033413484, 2033413482, 2033413498, 5541023429, 2033413500]",,145
"POLYGON ((13.378364 52.5262002, 13.3783597 52.5262369, 13.3783493 52.5262659, 13.3783478 52.5262734, 13.3787899 52.5263018, 13.3787963 52.5262637, 13.3788021 52.5262287, 13.3787814 52.5262271, 13.378668 52.5262171, 13.3784869 52.5262072, 13.378364 52.5262002))","[2375854889, 2375854893, 2375854895, 3342715606, 2375854898, 3342715603, 3342715599, 2375854894, 2375854892, 2375854890, 2375854889]",4,432
"POLYGON ((13.3781122 52.5233655, 13.3780768 52.5233596, 13.3780214 52.5234097, 13.3780496 52.5234211, 13.3781122 52.5233655))","[2456672588, 2456672587, 2456672595, 538976109, 2456672588]",,123
"POLYGON ((13.3779402 52.5233526, 13.3779218 52.5233695, 13.377963 52.5233862, 13.3779814 52.5233693, 13.3779607 52.5233609, 13.3779402 52.5233526))","[2456672586, 2456672590, 2456672592, 2456672589, 2734669625, 2456672586]",,32
"POLYGON ((13.3781122 52.5233655, 13.3780496 52.5234211, 13.3779814 52.5234837, 13.3779747 52.5234887, 13.3779999 52.5234989, 13.3780484 52.5235186, 13.3780513 52.523516, 13.3781648 52.5234122, 13.3781815 52.5233969, 13.3781719 52.5233838, 13.3781122 52.5233655))","[2456672588, 538976109, 538976104, 2456672600, 5528047642, 2456672603, 5576630900, 2734669628, 2456672593, 2456672591, 2456672588]",,231
"POLYGON ((13.3769889 52.5252573, 13.3770893 52.5252992, 13.3769865 52.5253904, 13.3771414 52.5254551, 13.3774292 52.5251999, 13.3774008 52.525188, 13.3774611 52.5251345, 13.3775044 52.5250961, 13.3775346 52.5251087, 13.3778212 52.5248545, 13.3776653 52.5247894, 13.3775639 52.5248794, 13.3774627 52.5248372, 13.3774315 52.5248241, 13.3772683 52.5249688, 13.3772914 52.5249784, 13.3771453 52.525108, 13.377122 52.5250982, 13.3769574 52.5252442, 13.3769889 52.5252573))","[375846920, 375846906, 375846897, 375846890, 2643742550, 2643742547, 539068034, 2643742535, 2643742541, 375846634, 375846643, 375846650, 375846658, 2643742521, 2643742525, 2643742526, 2643742539, 2643742537, 2643742554, 375846920]",5,46
"POLYGON ((13.378103 52.527562, 13.3781232 52.5274536, 13.3786791 52.5274868, 13.3786885 52.5274084, 13.3787043 52.5273418, 13.3786187 52.527336, 13.3783563 52.5273165, 13.3783081 52.5273126, 13.3779039 52.5272863, 13.3778866 52.5273984, 13.3778611 52.5275481, 13.3778773 52.5275492, 13.3779877 52.5275549, 13.3780873 52.5275612, 13.378103 52.527562))","[2656227539, 287022689, 287022690, 538902851, 287022691, 287022692, 8792829511, 2656227528, 287022701, 539068707, 8792830322, 538980689, 8792830319, 7952777062, 2656227539]",5,54
"POLYGON ((13.3767032 52.5252609, 13.3766732 52.5252484, 13.3767682 52.5251642, 13.3767748 52.525167, 13.3769385 52.5250219, 13.3769317 52.5250191, 13.3769684 52.5249866, 13.3770081 52.5249514, 13.3770474 52.5249165, 13.3770784 52.524889, 13.3770808 52.52489, 13.3773386 52.5246617, 13.3773677 52.5246737, 13.37748 52.5247205, 13.3775579 52.5247528, 13.3774627 52.5248372, 13.3774315 52.5248241, 13.3772683 52.5249688, 13.3772914 52.5249784, 13.3771453 52.525108, 13.377122 52.5250982, 13.3769574 52.5252442, 13.3769889 52.5252573, 13.3768945 52.525341, 13.3768168 52.5253085, 13.3767032 52.5252609))","[375846861, 375846850, 2643742543, 2643742545, 2643742529, 2643742527, 1360405933, 538990666, 1360405930, 2643742522, 2643742523, 375846840, 375846833, 375846675, 375846667, 375846658, 2643742521, 2643742525, 2643742526, 2643742539, 2643742537, 2643742554, 375846920, 375846912, 375846883, 375846861]",,95
"POLYGON ((13.3775942 52.5246191, 13.377905 52.524749, 13.3780483 52.5246221, 13.3780831 52.5245913, 13.3781383 52.5245424, 13.3779816 52.5244769, 13.377928 52.5245244, 13.3778801 52.5245043, 13.3778251 52.524553, 13.3775631 52.5244436, 13.3776497 52.5243668, 13.3777092 52.5243916, 13.377764 52.524343, 13.3778046 52.524307, 13.3777695 52.5242924, 13.3779338 52.5241468, 13.3779693 52.5241617, 13.3780095 52.5241261, 13.377976 52.5241121, 13.3780584 52.524039, 13.3779873 52.5240093, 13.377976 52.5240046, 13.3779625 52.5239989, 13.3778812 52.523965, 13.3778247 52.5240151, 13.3778093 52.5240087, 13.3777426 52.5240678, 13.3777498 52.5240708, 13.3775873 52.5242149, 13.3775773 52.5242107, 13.3775106 52.5242698, 13.3775273 52.5242768, 13.3774179 52.5243737, 13.3773805 52.5244068, 13.3773534 52.5243955, 13.3773361 52.5244108, 13.3773165 52.5244281, 13.3773429 52.5244391, 13.3773084 52.5244697, 13.3772853 52.5244902, 13.3774819 52.5245723, 13.3775942 52.5246191))","[375846685, 375846692, 539067939, 5622370294, 375846698, 375847007, 375846998, 375846706, 375846714, 375846726, 375846952, 375846936, 2643742504, 375846963, 375846987, 375847018, 375847028, 375847037, 375847046, 375846734, 5528443781, 3342715073, 5528443769, 375846608, 2643742495, 2643742494, 2643742496, 2643742497, 2643742499, 2643742498, 2643742501, 2643742502, 1360405924, 2643742510, 2643742507, 538990665, 2643742513, 2643742516, 7792000132, 375846744, 375846752, 375846685]",,214
"POLYGON ((13.3766957 52.5254159, 13.3765858 52.5253649, 13.3763891 52.5252828, 13.3763298 52.5253353, 13.3763 52.5253229, 13.3762831 52.5253379, 13.3762634 52.5253553, 13.3762924 52.5253674, 13.376149 52.5254945, 13.3761332 52.5254879, 13.3760675 52.5255462, 13.3760742 52.525549, 13.3759116 52.525693, 13.3759054 52.5256904, 13.3758399 52.5257484, 13.3758529 52.5257538, 13.3758249 52.5257787, 13.3760446 52.5258704, 13.376138 52.5257876, 13.3760949 52.5257696, 13.3762555 52.5256272, 13.3762948 52.5256436, 13.376384 52.5255646, 13.3763956 52.5255543, 13.3763364 52.5255295, 13.3764198 52.5254557, 13.3765572 52.5255131, 13.3766782 52.5255636, 13.3766226 52.5256129, 13.3768232 52.5256967, 13.376924 52.5256073, 13.3769977 52.525542, 13.3766957 52.5254159))","[375846868, 375846759, 375846771, 2643742564, 1360395042, 538990542, 2643742566, 2643742568, 2643742571, 2643742570, 2643742573, 2643742575, 2643742579, 2643742577, 2643742581, 2643742583, 375846616, 375846779, 375846786, 375846808, 375847056, 375847063, 3342715291, 375847074, 375847082, 375846826, 3342715276, 375846819, 375846799, 375846627, 539068132, 375846876, 375846868]",,453
"POLYGON ((13.3765858 52.5253649, 13.3767032 52.5252609, 13.3768168 52.5253085, 13.3766957 52.5254159, 13.3765858 52.5253649))","[375846759, 375846861, 375846883, 375846868, 375846759]",,231
"POLYGON ((13.3788116 52.5246987, 13.3788011 52.5247628, 13.3787925 52.5247623, 13.3787834 52.5248183, 13.378548 52.5248041, 13.3785387 52.5248608, 13.3785356 52.5248801, 13.3785324 52.5249, 13.3785237 52.5249573, 13.3786585 52.5249648, 13.3788263 52.5249741, 13.3788908 52.5249778, 13.3789045 52.5249786, 13.378904 52.5249817, 13.3789893 52.5249867, 13.379002 52.5249057, 13.3790247 52.5247672, 13.378937 52.5247619, 13.378946 52.5247068, 13.3788116 52.5246987))","[538904527, 3342715177, 3342715175, 538904529, 538904530, 3342715198, 2192019883, 3342715205, 539069913, 3342715210, 538904513, 5622370320, 3342715215, 3342715216, 3342715217, 538905028, 3342715180, 3342715178, 3342715170, 538904527]",,456
"POLYGON ((13.3785175 52.5243488, 13.3785044 52.524423, 13.3784923 52.5244924, 13.3787101 52.5245065, 13.3787296 52.5245006, 13.3787304 52.5244959, 13.3788232 52.5245016, 13.378822 52.5245089, 13.3788038 52.5246222, 13.3786892 52.5246154, 13.378667 52.5246141, 13.3784677 52.5246022, 13.3784508 52.5247068, 13.3786509 52.5247188, 13.3786556 52.5246893, 13.3787926 52.5246975, 13.3788116 52.5246987, 13.378946 52.5247068, 13.37908 52.5247151, 13.3790937 52.5246331, 13.3790098 52.5246279, 13.3790284 52.524516, 13.3790601 52.524518, 13.3790665 52.5244797, 13.3790946 52.5244814, 13.3790981 52.5244605, 13.3791016 52.52444, 13.3790706 52.5244381, 13.3790763 52.5244048, 13.3790426 52.5244026, 13.3790635 52.5242812, 13.3791495 52.5242866, 13.3791635 52.5242054, 13.3789602 52.5241924, 13.3789284 52.5241905, 13.3787349 52.5241792, 13.3787398 52.5241482, 13.3785509 52.5241372, 13.3785352 52.5242363, 13.3788645 52.5242555, 13.3788449 52.5243796, 13.3787537 52.5243743, 13.3787541 52.5243717, 13.3787376 52.5243631, 13.3785175 52.5243488))","[538904521, 539063935, 538904522, 3342715131, 3342715129, 5622376723, 538904523, 5622376724, 538904524, 5622370310, 5622370307, 538904525, 538904526, 3342715173, 3342715169, 5622370298, 538904527, 3342715170, 538904514, 1203692760, 1203692717, 1203692647, 1203692551, 3342715119, 3342715121, 538904952, 3342715115, 3342715114, 1203692795, 1203692682, 1203692621, 1203692830, 538904515, 4778693047, 538904516, 3342715083, 3342715079, 538904517, 538904518, 538904519, 538904520, 3342715109, 3342715108, 3342715106, 538904521]",,43
"POLYGON ((13.3785381 52.5251235, 13.3785389 52.525119, 13.3785631 52.5249897, 13.3786541 52.5249944, 13.3787577 52.5249999, 13.3787706 52.5250063, 13.3787671 52.5250403, 13.3787534 52.5250465, 13.3786967 52.5250441, 13.3786838 52.5251309, 13.3785381 52.5251235))","[3342715241, 3342715240, 3342715218, 3342715219, 3342715220, 3342715221, 3342715229, 3342715232, 3342715231, 3342715242, 3342715241]",,23
"POLYGON ((13.3787998 52.5251472, 13.3788143 52.52505, 13.3788327 52.5250429, 13.3788378 52.5250165, 13.3788233 52.5250077, 13.3788263 52.5249741, 13.3786585 52.5249648, 13.3786541 52.5249944, 13.3787577 52.5249999, 13.3787706 52.5250063, 13.3787671 52.5250403, 13.3787534 52.5250465, 13.3786967 52.5250441, 13.3786838 52.5251309, 13.3787397 52.5251344, 13.3787389 52.5251442, 13.3787998 52.5251472))","[538904512, 3342715233, 3342715230, 3342715223, 3342715222, 538904513, 3342715210, 3342715219, 3342715220, 3342715221, 3342715229, 3342715232, 3342715231, 3342715242, 3342715243, 3342715246, 538904512]",,67
"POLYGON ((13.3743035 52.5259183, 13.3743742 52.5259484, 13.3744194 52.5259092, 13.3743487 52.5258791, 13.3743035 52.5259183))","[538986849, 3342715568, 3342715565, 3342715563, 538986849]",,100
"POLYGON ((13.3752985 52.5277478, 13.3753388 52.5277581, 13.3753897 52.5277728, 13.3754191 52.5277307, 13.3753299 52.5277062, 13.3752985 52.5277478))","[3342715759, 538988274, 3342715762, 3342715752, 3342715751, 3342715759]",,125
"POLYGON ((13.3787998 52.5251472, 13.3787389 52.5251442, 13.3787397 52.5251344, 13.3786838 52.5251309, 13.3785381 52.5251235, 13.3785389 52.525119, 13.3785139 52.5251173, 13.3785068 52.5251639, 13.3785322 52.5251653, 13.3785069 52.5253531, 13.3785035 52.5253549, 13.3784842 52.5253544, 13.3784754 52.5254131, 13.3785762 52.5254193, 13.3785716 52.5254493, 13.3785562 52.5254486, 13.3785377 52.5254603, 13.3785284 52.52553, 13.3785352 52.5255327, 13.3785399 52.5255363, 13.3785425 52.5255408, 13.3785576 52.5255407, 13.3785552 52.5255565, 13.3785531 52.5255697, 13.3784497 52.5255634, 13.3784388 52.5256212, 13.3785351 52.5256265, 13.3785069 52.5257942, 13.3788192 52.525815, 13.3788678 52.5258188, 13.3788895 52.5256981, 13.3787841 52.5256918, 13.378785 52.5256814, 13.378698 52.5256751, 13.3787072 52.5256038, 13.3787986 52.5256077, 13.3788175 52.5255084, 13.3788328 52.5254103, 13.3787423 52.5254046, 13.3787701 52.5252735, 13.3788907 52.5252801, 13.3789044 52.5252867, 13.3789574 52.5252888, 13.3789708 52.5252823, 13.3789764 52.5252484, 13.3790013 52.5252495, 13.3790047 52.5252227, 13.3790089 52.5251972, 13.3789854 52.5251951, 13.3789912 52.5251585, 13.3787998 52.5251472))","[538904512, 3342715246, 3342715243, 3342715242, 3342715241, 3342715240, 3342715239, 3342715247, 3342715248, 3342715262, 3342715264, 3342715263, 538904531, 538904532, 3342715269, 3342715268, 3342715271, 3342715278, 3342715279, 3342715280, 3342715284, 3342715283, 539064068, 3342715495, 3342715290, 3342715514, 3342715515, 3342715555, 3342715557, 3342715558, 538904500, 3342715539, 3342715536, 538904504, 538904505, 538904506, 538905102, 538904507, 538904508, 538904509, 3342715256, 3342715257, 3342715258, 538904510, 3342715254, 3342715255, 538905070, 3342715251, 3342715250, 538904511, 538904512]",4,120
"POLYGON ((13.370643 52.5346524, 13.3706786 52.5346676, 13.3706526 52.5346897, 13.3705921 52.5347414, 13.3705568 52.5347261, 13.3705576 52.5347254, 13.3706165 52.5346751, 13.370643 52.5346524))","[3344192319, 3344192320, 4622711129, 3344192322, 3344192321, 3344192325, 4622711130, 3344192319]",3,210
"POLYGON ((13.3727243 52.5358211, 13.3722048 52.5356007, 13.3721626 52.5356375, 13.3716758 52.535431, 13.3717195 52.5353929, 13.3717577 52.5354091, 13.3717404 52.5354241, 13.3721383 52.5355929, 13.3721543 52.5355789, 13.3721102 52.5355602, 13.3721803 52.5354991, 13.3720539 52.5354454, 13.372077 52.5354253, 13.3722036 52.535479, 13.3723266 52.5353717, 13.3729408 52.5356323, 13.3728247 52.5357335, 13.3727243 52.5358211))","[4210456632, 4210456594, 3450322298, 3450321490, 4210455453, 4210455457, 3450321487, 349135087, 3450322297, 3450322296, 3450322294, 4210455467, 4210455461, 3450321491, 4210455448, 4210456601, 6312204873, 4210456632]",1,220
"POLYGON ((13.3759453 52.5264569, 13.3760007 52.5264806, 13.3756539 52.5267811, 13.3755414 52.5267349, 13.375542 52.5267171, 13.3755168 52.5267053, 13.3754863 52.5267094, 13.3752671 52.5266179, 13.3752744 52.5266122, 13.3752235 52.5265902, 13.375216 52.5265969, 13.3751123 52.526552, 13.3751192 52.5265453, 13.3749939 52.5264925, 13.3748898 52.5265831, 13.3748293 52.5266358, 13.3749522 52.5266864, 13.3749592 52.5266804, 13.3752292 52.5267952, 13.3752553 52.5267724, 13.3754216 52.5268425, 13.3752354 52.5270022, 13.3750753 52.5269332, 13.3750856 52.5269243, 13.3750365 52.5269031, 13.3750261 52.5269121, 13.3749871 52.5268953, 13.374847 52.5270156, 13.3750086 52.5270853, 13.3750161 52.5270789, 13.3750113 52.5270768, 13.3750238 52.527066, 13.3751841 52.5271351, 13.3751877 52.5271321, 13.375199 52.527137, 13.3752326 52.5271514, 13.3752692 52.52712, 13.3752639 52.5271177, 13.375276 52.5271073, 13.3752367 52.5270903, 13.3753046 52.527032, 13.3752735 52.5270186, 13.3754243 52.5268895, 13.3755351 52.5269359, 13.375646 52.5269822, 13.3754955 52.5271126, 13.3754673 52.5271006, 13.3753872 52.5271703, 13.3753452 52.5271524, 13.3752959 52.5271952, 13.3753384 52.5272133, 13.3753494 52.5272037, 13.3753618 52.527209, 13.3755127 52.5272733, 13.3754959 52.5272879, 13.3754925 52.5272865, 13.3754863 52.5272918, 13.3756452 52.5273595, 13.3757863 52.5272368, 13.3757464 52.5272198, 13.3757583 52.5272095, 13.3757053 52.5271869, 13.3756936 52.527197, 13.3755342 52.5271291, 13.3757161 52.5269715, 13.3758876 52.5270425, 13.3759184 52.5270165, 13.3760075 52.5270554, 13.3759771 52.5270817, 13.376061 52.5271168, 13.3760905 52.527091, 13.3761838 52.5271309, 13.3761196 52.5271841, 13.3762391 52.5272368, 13.376398 52.527099, 13.376274 52.527045, 13.3762621 52.5270548, 13.3762383 52.5270445, 13.3761601 52.5270108, 13.3761705 52.5270017, 13.3761188 52.5269798, 13.3761098 52.5269877, 13.376002 52.5269414, 13.3760107 52.5269343, 13.3758969 52.5268869, 13.3758934 52.5268712, 13.375861 52.5268568, 13.3758386 52.5268602, 13.3757318 52.5268144, 13.3760785 52.5265139, 13.3761351 52.5265381, 13.3761188 52.5265522, 13.3762438 52.5266058, 13.3762584 52.5265932, 13.3764103 52.5266582, 13.3763392 52.5267196, 13.376519 52.5267967, 13.3765803 52.5267436, 13.3766178 52.5267597, 13.376648 52.5267336, 13.3766853 52.5267014, 13.3766679 52.5266936, 13.3766466 52.5266848, 13.3767229 52.5266189, 13.376666 52.5265945, 13.376677 52.526585, 13.3766586 52.5265772, 13.3766403 52.5265693, 13.3766297 52.5265785, 13.3765785 52.5265566, 13.3765726 52.5265617, 13.3764976 52.5265296, 13.3764731 52.5265507, 13.3762424 52.5264519, 13.3763714 52.5263405, 13.3762688 52.5262966, 13.376168 52.5262534, 13.3760389 52.5263649, 13.3758073 52.5262657, 13.3758317 52.5262446, 13.3757556 52.526212, 13.375763 52.5262057, 13.3757107 52.5261833, 13.375623 52.5261457, 13.375545 52.5262131, 13.3754795 52.5261851, 13.3754478 52.5262125, 13.3754096 52.5262455, 13.3754761 52.526274, 13.3754175 52.5263247, 13.3755906 52.5263988, 13.3756614 52.5263376, 13.3758158 52.5264037, 13.3758015 52.5264161, 13.3759292 52.5264708, 13.3759453 52.5264569))","[375825882, 2776386481, 1204390134, 3342715642, 3342715639, 3342715636, 3342715637, 1245824568, 1245824638, 3342715625, 3342715627, 3342715617, 3342715615, 538978266, 5541023448, 538978269, 3342715632, 3342715631, 1245824672, 1245824623, 3342715647, 3342715673, 3342715666, 3342715664, 3342715660, 3342715663, 688232208, 688232587, 538978494, 3342715680, 3342715679, 688232309, 3342715689, 3342715688, 1360395080, 1360108934, 1360108932, 3342715683, 3342715681, 1360108931, 538978488, 3342715676, 3342715656, 538987965, 3342715671, 3342715682, 688232408, 1360108935, 1360108933, 1360108936, 3342715696, 3342715694, 1360395081, 688232294, 3342715708, 3342715707, 688232570, 688232519, 688232341, 3342715697, 3342715695, 3342715691, 3342715693, 3342715685, 3342715669, 1245824577, 1245824666, 1245824575, 1245824642, 1245824556, 1245824627, 1245824650, 1245824571, 538978272, 538978265, 3342715677, 3342715678, 1360380107, 3342715675, 3342715674, 3342715670, 3342715672, 3342715668, 3342715667, 3342715657, 3342715653, 3342715650, 3342715651, 1204390115, 2776386479, 375825874, 375825867, 3342715628, 3342715624, 375825860, 375825853, 1360380105, 375825848, 3342715644, 539067665, 3342715635, 2777497901, 3342715633, 375825841, 3342715626, 3342715623, 539067656, 375825835, 375825827, 3342715619, 3342715620, 3342715614, 3342715616, 375825821, 375825814, 539067644, 375825805, 375825941, 3342715605, 3342715601, 375825934, 375825928, 539067645, 375825913, 3342715595, 3342715590, 539067602, 3342715602, 3342715607, 375825908, 375825902, 375825896, 3342715609, 3342715610, 375825888, 375825882]",,132
