geometry,nodes,building:levels,available_beds
"POLYGON ((13.378197 52.5235988, 13.3782261 52.523595, 13.3783614 52.5234692, 13.3783566 52.5234601, 13.3783556 52.523448, 13.3783584 52.523439, 13.3783729 52.5234271, 13.378386 52.5234222, 13.3783993 52.5234189, 13.3784162 52.5234192, 13.378435 52.5234214, 13.3784514 52.5234294, 13.3784638 52.5234423, 13.3788013 52.5234985, 13.3787459 52.5236268, 13.3785815 52.5236012, 13.3786024 52.5235559, 13.3784743 52.5235366, 13.3784555 52.523539, 13.3783987 52.5235938, 13.3784616 52.5236228, 13.3783479 52.5237224, 13.3783805 52.5237351, 13.378589 52.5238165, 13.3785108 52.5238893, 13.37847 52.5238726, 13.3784424 52.5238613, 13.3782522 52.5237832, 13.37826 52.5237755, 13.3782715 52.5237642, 13.3781091 52.5237025, 13.3781521 52.5236627, 13.3781469 52.5236466, 13.378088 52.5236229, 13.3781397 52.5235751, 13.378197 52.5235988))","[2456672606, 2456672605, 373408862, 2456672598, 2456672597, 373408867, 373408872, 373408877, 373408884, 373408889, 373408894, 373408914, 373408918, 373408659, 373408662, 373408791, 373408807, 373408810, 373408815, 373408826, 2456672607, 373408830, 3342715032, 1360405908, 5528047637, 5528047691, 539063915, 373408849, 5528047659, 373408854, 373408858, 2456672609, 2456672608, 5528047698, 5528047647, 2456672606]",4,54
"POLYGON ((13.3780847 52.5243856, 13.3781327 52.5244059, 13.3781224 52.524415, 13.3781405 52.5244226, 13.3781594 52.5244306, 13.3781698 52.5244215, 13.3782171 52.5244414, 13.3783423 52.5243315, 13.3782099 52.5242756, 13.3780847 52.5243856))","[375825999, 2643742509, 2643742511, 539067826, 2643742514, 2643742512, 375826005, 375826013, 375826018, 375825999]",,95
"POLYGON ((13.3775942 52.5246191, 13.3774819 52.5245723, 13.3774627 52.5245894, 13.3773677 52.5246737, 13.37748 52.5247205, 13.3775799 52.5246318, 13.3775942 52.5246191))","[375846685, 375846752, 1360405927, 375846833, 375846675, 3342715164, 375846685]",,214
"POLYGON ((13.3772272 52.5233788, 13.3768366 52.5232205, 13.3767192 52.5233276, 13.3769157 52.5234073, 13.3771099 52.5234859, 13.3772272 52.5233788))","[538976390, 538976391, 538976393, 538986129, 538976394, 538976390]",5,453
"POLYGON ((13.3753676 52.5257157, 13.3755694 52.5255473, 13.3752674 52.5254203, 13.3751751 52.5255036, 13.3753068 52.5255584, 13.3752134 52.5256398, 13.3751955 52.5256309, 13.3751898 52.5256298, 13.3751839 52.5256294, 13.375177 52.5256303, 13.3751712 52.525632, 13.3751315 52.5256673, 13.375131 52.5256731, 13.3751332 52.5256783, 13.3751386 52.5256828, 13.3751553 52.5256904, 13.3750636 52.5257702, 13.3749333 52.5257116, 13.3749294 52.5257138, 13.3748796 52.5257305, 13.3748427 52.525764, 13.3748626 52.5257745, 13.3748352 52.5257968, 13.3748429 52.5258003, 13.3748816 52.5258162, 13.3751392 52.5259238, 13.3753297 52.5257491, 13.3753504 52.5257562, 13.3753557 52.5257663, 13.375369 52.5257641, 13.3753674 52.5257577, 13.3753798 52.5257468, 13.3753942 52.5257342, 13.3754049 52.5257351, 13.3754062 52.5257248, 13.3753933 52.5257262, 13.3753676 52.5257157))","[3342715542, 538977645, 538977643, 538977661, 538977659, 3342715522, 3342715519, 3342715517, 3342715516, 3342715518, 3342715520, 3342715529, 3342715532, 3342715535, 3342715537, 3342715538, 538977658, 538977657, 2033413480, 2033413500, 538977655, 3342715554, 3342715556, 667128888, 667128891, 538977646, 3342715548, 3342715550, 3342715553, 3342715552, 3342715551, 538986768, 3342715546, 3342715547, 3342715544, 3342715545, 3342715542]",,231
"POLYGON ((13.374638 52.5257042, 13.3746972 52.5256525, 13.3747263 52.5256273, 13.3747814 52.5255794, 13.3746168 52.5255093, 13.374582 52.5255395, 13.3744627 52.5254888, 13.3744047 52.5254642, 13.374417 52.5254535, 13.3742894 52.5253995, 13.3742829 52.5254052, 13.3741808 52.525362, 13.3741019 52.5253709, 13.3740571 52.5254108, 13.3740722 52.5254586, 13.3741276 52.5254813, 13.374116 52.5254918, 13.3740756 52.5255283, 13.3741195 52.5255463, 13.3741279 52.5255387, 13.374139 52.5255432, 13.374114 52.5255658, 13.3741043 52.5255618, 13.3740992 52.5255664, 13.3741052 52.5255689, 13.3740927 52.5255801, 13.3740814 52.5255903, 13.3740746 52.5255875, 13.3740682 52.5255931, 13.3740778 52.5255971, 13.3740533 52.525619, 13.3740439 52.5256151, 13.3740386 52.5256198, 13.374168 52.5256736, 13.3741725 52.5256695, 13.3741628 52.5256655, 13.374189 52.5256423, 13.3741985 52.5256462, 13.3742022 52.525643, 13.3741932 52.5256392, 13.3742193 52.525616, 13.3742291 52.5256201, 13.3742333 52.5256163, 13.3742234 52.5256121, 13.3742496 52.5255888, 13.374259 52.5255928, 13.374263 52.5255892, 13.3742417 52.5255803, 13.3742447 52.5255571, 13.3742597 52.525544, 13.374638 52.5257042))","[538977857, 2033413498, 2033413482, 538977859, 3342715274, 3342715282, 538986752, 3342715272, 3342715270, 3342715265, 3342715266, 538977862, 1353880246, 1353880248, 1353880250, 538977867, 5541023499, 538977870, 3342715286, 3342715281, 3342715285, 3342715493, 3342715289, 3342715292, 3342715494, 5541023444, 3342715501, 3342715498, 3342715502, 3342715505, 3342715513, 3342715509, 3342715511, 3342715533, 3342715530, 3342715527, 3342715524, 3342715526, 3342715523, 3342715521, 3342715508, 3342715512, 3342715510, 3342715507, 3342715499, 3342715503, 3342715500, 3342715497, 3342715287, 538977875, 538977857]",4,456
"POLYGON ((13.3749444 52.5277945, 13.375365 52.5279166, 13.3753697 52.5279126, 13.3754434 52.5279346, 13.3755209 52.5279546, 13.3756151 52.5278395, 13.3753897 52.5277728, 13.3753388 52.5277581, 13.3752985 52.5277478, 13.3750379 52.5276732, 13.3749444 52.5277945))","[538979283, 8792829443, 8792829442, 8792829441, 538979285, 538979288, 3342715762, 538988274, 3342715759, 538979289, 538979283]",,43
"POLYGON ((13.3755672 52.528026, 13.3755826 52.5280304, 13.3755239 52.5281018, 13.3755059 52.5281231, 13.375469 52.5281666, 13.3748819 52.5279945, 13.3747816 52.5279619, 13.374752 52.5279529, 13.3747659 52.5278993, 13.3746767 52.5278891, 13.374588 52.5278785, 13.3745325 52.5278721, 13.3745731 52.5277437, 13.3746364 52.5277501, 13.3748688 52.5277763, 13.3748808 52.5277771, 13.3748657 52.5278279, 13.3748869 52.5278299, 13.374893 52.5278223, 13.3755672 52.528026))","[538979780, 8792829430, 8792829435, 8792829444, 538991839, 4556857267, 8792829456, 538979765, 688232463, 8792829453, 538979766, 538979767, 538979768, 538979770, 8792829454, 8792829455, 538979779, 688232542, 688232261, 538979780]",5,23
"POLYGON ((13.3745099 52.5253358, 13.3746209 52.5252375, 13.3747262 52.5251442, 13.3745672 52.5250778, 13.3743509 52.5252694, 13.3745099 52.5253358))","[538986267, 538986652, 538986268, 538986269, 538986270, 538986267]",1,67
"POLYGON ((13.3744001 52.5258341, 13.3741791 52.5257403, 13.3740826 52.5258245, 13.3743035 52.5259183, 13.3743487 52.5258791, 13.3743682 52.5258619, 13.3744001 52.5258341))","[538986846, 538986847, 538986848, 538986849, 3342715563, 538986851, 538986846]",1,100
